category,name,price,original_price,stock_status,url
Processor,Amd Ryzen 3 3200G Processor With Radeon Rx Vega 8 Graphics (YD3200C5FHBOX),6490.0,13500.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-3-3200g-processor-with-radeon-rx-vega-8-graphics/
Processor,Amd Ryzen 5 3400G With Radeon Rx Vega 11 Graphics Processor ( Upto 4.2 Ghz / 6 Mb Cache),9750.0,22000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-3400g-processor/
Processor,Amd Ryzen 5 5500 Desktop Processor (Upto 4.2Ghz 19Mb Cache) (100-100000457Box),8500.0,19000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-5500-desktop-processor-upto-4-2ghz-19mb-cache/
Processor,AMD Ryzen 5 5600F Desktop Processor (100-100001903BOX),11000.0,15000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-5600f-desktop-processor/
Processor,AMD Ryzen 5 5600G Processor With Radeon Graphics,14900.0,37000.0,1 in stock,https://www.pcstudio.in/product/amd-ryzen-5-5600g-processor-with-radeon-graphics/
Processor,Amd Ryzen 5 5600GT Processor With Radeon Graphics (100-100001488BOX),14500.0,22000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-5600gt-processor-with-radeon-graphics/
Processor,Amd Ryzen 5 5600X Processor,13875.0,34400.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-5600x-processor/
Processor,AMD Ryzen 5 7500F Desktop Processor (100-100000597BOX),15250.0,21999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-7500f-desktop-processor/
Processor,AMD Ryzen 5 7500X3D Desktop Processor (Tray) 100-000001904,24400.0,43000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-7500x3d-desktop-processor-tray-100-000001904/
Processor,Amd Ryzen 5 7600 Desktop Processor with Radeon Graphics(100-100001015BOX),19700.0,45000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-7600-gaming-desktop-processor/
Processor,AMD Ryzen 5 7600X Desktop Processor (Up to 5.3 Ghz) (100-100000593WOF),19250.0,49000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-7600x-desktop-processor-up-to-5-3-ghz/
Processor,Amd Ryzen 5 8500G Processor With Radeon Graphics (Up To 5.0Ghz 22Mb Cache) (100-100000931BOX),15340.0,29999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-8500g-processor-with-radeon-graphics-up-to-5-0ghz-22mb-cache/
Processor,Amd Ryzen 5 8600G Processor With Radeon Graphics (Up To 5.0Ghz 22Mb Cache) (100-100001237BOX),19600.0,38999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-8600g-processor-with-radeon-graphics-up-to-5-0ghz-22mb-cache/
Processor,AMD Ryzen 5 9600X Desktop Processor (100-100001405WOF),21730.0,47000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-5-9600x-desktop-processor/
Processor,Amd Ryzen 7 5700G Processor With Radeon Graphics,20550.0,47500.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-5700g/
Processor,"AMD Ryzen 7 5700X OEM Processor (8 Cores, 16 Threads, Max. Boost Clock Up To 4.6GHz, AM4 Socket and 36MB Cache)",17500.0,33000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-5700x-oem-processor-8-cores-16-threads-max-boost-clock-up-to-4-6ghz-am4-socket-and-36mb-cache/
Processor,Amd Ryzen 7 7700X Desktop Processor (Up to 5.4 Ghz) (100-100000591WOF),28800.0,60000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-7700x-desktop-processor-up-to-5-4-ghz/
Processor,Amd Ryzen 7 7800X3D Gaming Processor (100-100000910WOF),44350.0,59000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-7800x3d-gaming-processor/
Processor,Amd Ryzen 7 7800X3D Gaming Processor Oem Pack No Stock Cooler,36900.0,55000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-7800x3d-gaming-processor-oem-pack-no-stock-cooler/
Processor,Amd Ryzen 7 8700F Desktop Processor (100-100001590BOX),25900.0,44500.0,1 in stock,https://www.pcstudio.in/product/amd-ryzen-7-8700f-desktop-processor/
Processor,Amd Ryzen 7 8700G Processor With Radeon Graphics (Up To 5.1Ghz 24Mb Cache) (100-100001236BOX),29900.0,55999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-8700g-processor-with-radeon-graphics-up-to-5-1ghz-24mb-cache/
Processor,AMD Ryzen 7 9700X Desktop Processor (100-100001404WOF),30900.0,60000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-9700x-desktop-processor/
Processor,"AMD Ryzen 7 9800X3D Processor with Radeon Graphics (8 Cores,16 Threads, Max Boost Clock Up To 5.2GHz)(100-100001084WOF)",48000.0,72000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-9800x3d-4-7ghz-8-core-am5-processor/
Processor,"AMD Ryzen 7 9850X3D CPU Processor, 8 Cores & 16 Threads, Up to 5.6 GHz Max Boost Clock, 96MB L3 Cache, Integrated AMD Radeon Graphics, Up to 192 GB DDR5 Max Memory | 100-100001973WOF",53700.0,69999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-7-9850x3d-cpu-processor-8-cores-16-threads-up-to-5-6-ghz-max-boost-clock-96mb-l3-cache-integrated-amd-radeon-graphics-up-to-192-gb-ddr5-max-memory-100-100001973wof/
Processor,Amd Ryzen 9 7900X Desktop Processor (Up to 5.6 Ghz) (100-100000589WOF),35600.0,77000.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-9-7900x-desktop-processor-up-to-5-6-ghz/
Processor,AMD Ryzen 9 9900X Desktop Processor (100-100000662WOF),42250.0,89999.0,In Stock,https://www.pcstudio.in/product/amd-ryzen-9-9900x-desktop-processor/
